LAT;;;;;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584
LON;;;;;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327
ASL;;;;;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000
CITY;;;;;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;2 m above gnd;2 m above gnd;2 m above gnd;2 m above gnd;MSL;MSL
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Temperature;Temperature;Relative Humidity;Relative Humidity;Mean Sea Level Pressure;Mean Sea Level Pressure
UNIT;;;;;°C;%;hPa;°C;°C;%;%;hPa;hPa
AGGREGATION;;;;;daily mean;daily mean;daily mean;daily max;daily min;daily max;daily min;daily max;daily min
UTC_OFFSET;;;;;1;1;1;1;1;1;1;1;1

Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Relative Humidity daily mean [2 m above gnd];Mean Sea Level Pressure daily mean [MSL];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Relative Humidity daily max [2 m above gnd];Relative Humidity daily min [2 m above gnd];Mean Sea Level Pressure daily max [MSL];Mean Sea Level Pressure daily min [MSL]
2003;09;08;00;00;16.34;71.71;1011.27;20.05;12.29;96.00;48.00;1014.50;1006.00
2003;09;09;00;00;16.48;74.83;1009.48;22.06;11.14;100.00;44.00;1014.70;1006.00
2003;09;10;00;00;15.92;74.46;1016.85;19.13;12.59;98.00;49.00;1017.60;1015.20
2003;09;11;00;00;15.44;75.88;1020.30;17.86;13.92;95.00;54.00;1023.70;1016.40
2003;09;12;00;00;16.64;62.62;1025.65;22.24;10.79;88.00;42.00;1028.60;1023.50
2003;09;13;00;00;15.86;65.29;1027.63;21.96;8.89;95.00;45.00;1029.40;1025.60
2003;09;14;00;00;14.84;68.83;1026.88;23.08;5.38;97.00;44.00;1028.70;1025.00
2003;09;15;00;00;15.33;71.92;1024.91;23.51;7.38;100.00;45.00;1027.10;1022.90
2003;09;16;00;00;17.29;66.21;1024.28;25.27;9.71;100.00;33.00;1026.80;1022.40
2003;09;17;00;00;19.03;63.83;1022.80;26.59;10.55;100.00;37.00;1025.30;1020.90
2003;09;18;00;00;19.74;60.38;1021.38;28.87;9.54;100.00;29.00;1024.10;1019.00
2003;09;19;00;00;21.10;53.71;1021.55;30.21;10.23;84.00;24.00;1023.50;1020.10
2003;09;20;00;00;22.37;58.67;1022.30;30.14;13.13;94.00;32.00;1023.90;1020.80
2003;09;21;00;00;21.75;55.00;1021.93;29.34;12.94;81.00;29.00;1024.90;1018.80
2003;09;22;00;00;20.88;60.17;1015.12;29.09;12.63;87.00;30.00;1019.70;1010.60
2003;09;23;00;00;16.22;75.92;1016.74;17.96;13.43;94.00;50.00;1023.80;1012.70
2003;09;24;00;00;11.44;68.50;1027.29;15.24;6.28;87.00;55.00;1028.40;1024.30
2003;09;25;00;00;12.37;67.88;1025.90;21.53;2.06;95.00;42.00;1029.00;1022.80
2003;09;26;00;00;17.07;65.08;1021.38;25.32;7.99;93.00;39.00;1024.10;1018.60
2003;09;27;00;00;17.97;58.04;1018.65;20.94;14.62;72.00;41.00;1020.40;1015.50
2003;09;28;00;00;17.06;77.17;1013.00;20.25;14.05;96.00;62.00;1015.00;1011.40
2003;09;29;00;00;13.50;74.12;1015.51;16.05;9.14;97.00;53.00;1016.80;1013.60
2003;09;30;00;00;13.27;70.29;1014.22;21.37;5.48;100.00;40.00;1016.80;1011.60
2003;10;01;00;00;15.21;76.54;1011.65;21.76;9.80;100.00;46.00;1013.00;1009.80
2003;10;02;00;00;18.65;72.88;1013.48;26.49;9.41;95.00;49.00;1015.70;1012.20
2003;10;03;00;00;18.20;77.79;1012.59;23.24;14.57;89.00;61.00;1013.80;1010.70
2003;10;04;00;00;14.39;89.58;1010.30;15.83;11.08;95.00;82.00;1012.20;1007.10
2003;10;05;00;00;8.70;86.92;1011.95;10.06;7.82;94.00;80.00;1017.10;1008.90
2003;10;06;00;00;9.44;71.08;1018.62;12.69;6.66;95.00;38.00;1021.40;1016.10
2003;10;07;00;00;9.47;93.75;1011.89;11.15;7.55;100.00;82.00;1015.70;1006.30
2003;10;08;00;00;9.14;77.67;1018.08;12.57;6.65;99.00;53.00;1021.20;1013.90
2003;10;09;00;00;11.62;95.46;1018.80;14.36;8.81;100.00;90.00;1021.80;1015.70
2003;10;10;00;00;12.86;80.75;1021.53;17.97;9.02;98.00;55.00;1023.70;1020.20
2003;10;11;00;00;12.98;79.58;1023.32;17.77;8.23;100.00;59.00;1024.70;1022.00
2003;10;12;00;00;12.73;86.25;1022.12;17.88;9.31;100.00;65.00;1023.60;1019.80
2003;10;13;00;00;12.81;83.12;1021.30;20.23;7.42;99.00;58.00;1023.40;1019.00
2003;10;14;00;00;12.12;80.12;1020.90;18.30;4.09;97.00;58.00;1024.70;1019.20
2003;10;15;00;00;6.42;74.04;1024.92;14.99;-0.32;96.00;48.00;1026.60;1022.50
2003;10;16;00;00;5.94;74.75;1025.20;14.36;-0.20;96.00;47.00;1027.20;1022.90
2003;10;17;00;00;6.13;72.71;1022.41;14.41;-0.73;94.00;48.00;1025.60;1018.60
2003;10;18;00;00;7.99;68.62;1014.03;16.13;0.10;94.00;41.00;1019.30;1009.30
2003;10;19;00;00;11.02;65.54;1007.93;17.62;3.20;98.00;42.00;1011.90;1003.30
2003;10;20;00;00;10.97;85.33;999.53;13.32;8.91;97.00;62.00;1002.70;998.00
2003;10;21;00;00;7.74;87.79;1007.29;10.03;3.43;97.00;72.00;1014.40;997.30
2003;10;22;00;00;5.67;82.38;1011.32;10.28;2.57;99.00;57.00;1014.60;1007.70
2003;10;23;00;00;4.05;89.58;1008.21;6.95;2.21;99.00;70.00;1011.50;1006.60
2003;10;24;00;00;2.78;79.04;1017.82;5.44;0.75;99.00;60.00;1023.60;1012.40
2003;10;25;00;00;2.44;76.50;1023.90;7.53;-2.09;96.00;56.00;1025.60;1022.00
2003;10;26;00;00;4.82;65.92;1017.91;10.04;0.59;87.00;47.00;1021.90;1015.20
2003;10;27;00;00;4.99;70.29;1018.74;11.03;0.94;88.00;45.00;1021.30;1016.60
2003;10;28;00;00;5.75;73.50;1018.32;12.92;-0.88;94.00;48.00;1022.10;1012.60
2003;10;29;00;00;7.60;88.50;1005.98;12.60;5.57;95.00;77.00;1012.20;997.80
2003;10;30;00;00;6.84;85.92;995.49;8.55;5.40;97.00;73.00;997.50;990.30
2003;10;31;00;00;8.33;84.79;986.65;12.56;5.37;97.00;70.00;989.20;982.60
2003;11;01;00;00;10.88;79.29;996.36;14.93;7.68;97.00;56.00;1005.80;986.70
2003;11;02;00;00;8.16;87.96;1011.43;10.49;6.05;99.00;74.00;1013.30;1006.60
2003;11;03;00;00;7.26;89.38;1018.71;12.50;2.32;97.00;81.00;1027.00;1013.50
2003;11;04;00;00;9.19;85.00;1031.00;13.43;4.52;97.00;68.00;1032.70;1027.80
2003;11;05;00;00;8.00;84.33;1031.23;14.81;3.09;100.00;56.00;1033.70;1028.80
2003;11;06;00;00;8.27;84.00;1028.70;15.29;3.98;97.00;59.00;1031.00;1026.40
2003;11;07;00;00;4.90;84.38;1024.95;10.70;1.39;98.00;59.00;1027.10;1021.30
2003;11;08;00;00;6.42;73.29;1021.62;12.89;0.76;96.00;48.00;1023.30;1019.60
2003;11;09;00;00;9.09;72.33;1024.11;15.56;0.66;95.00;52.00;1026.30;1022.30
2003;11;10;00;00;12.78;77.17;1021.72;17.08;8.36;98.00;59.00;1023.70;1019.80
2003;11;11;00;00;9.38;81.75;1021.53;16.51;4.95;99.00;54.00;1023.20;1019.90
2003;11;12;00;00;8.00;85.04;1021.95;12.35;2.88;99.00;67.00;1023.20;1020.30
2003;11;13;00;00;8.77;90.21;1027.12;9.75;6.81;97.00;81.00;1029.60;1021.90
2003;11;14;00;00;8.48;79.92;1023.64;13.52;4.55;96.00;52.00;1027.40;1020.50
2003;11;15;00;00;9.66;85.21;1018.34;11.14;8.47;97.00;70.00;1021.20;1013.50
2003;11;16;00;00;10.80;73.79;1013.91;14.77;7.53;98.00;48.00;1016.10;1013.10
2003;11;17;00;00;6.70;88.17;1026.55;10.19;4.05;97.00;78.00;1030.50;1017.10
2003;11;18;00;00;7.03;78.71;1028.73;11.30;1.73;100.00;53.00;1029.80;1027.80
2003;11;19;00;00;10.50;86.33;1026.27;13.17;8.77;100.00;80.00;1029.10;1023.90
2003;11;20;00;00;11.11;82.58;1019.37;17.64;7.02;98.00;61.00;1023.70;1016.20
2003;11;21;00;00;11.52;71.58;1014.77;18.95;5.83;89.00;48.00;1017.20;1012.30
2003;11;22;00;00;10.15;77.79;1012.05;16.20;2.97;94.00;59.00;1014.80;1008.60
2003;11;23;00;00;12.12;76.33;1008.46;17.59;6.92;92.00;52.00;1010.20;1006.60
2003;11;24;00;00;12.38;74.58;1008.31;17.89;7.30;93.00;52.00;1009.60;1007.00
2003;11;25;00;00;12.22;82.21;1011.90;14.32;10.04;98.00;73.00;1013.10;1009.10
2003;11;26;00;00;9.50;82.21;1006.63;13.93;5.03;98.00;62.00;1012.10;1000.30
2003;11;27;00;00;7.81;92.42;1000.50;8.75;6.43;98.00;87.00;1002.90;998.90
2003;11;28;00;00;6.45;91.21;1010.50;7.68;4.78;97.00;81.00;1016.80;1003.40
2003;11;29;00;00;4.75;87.88;1015.87;6.76;2.75;97.00;72.00;1017.70;1013.20
2003;11;30;00;00;7.19;94.04;1010.83;10.48;3.82;100.00;89.00;1012.90;1008.50
2003;12;01;00;00;9.36;83.21;1005.76;13.56;5.77;98.00;58.00;1008.60;1004.10
2003;12;02;00;00;9.35;83.17;1013.01;13.48;5.20;97.00;64.00;1016.50;1009.20
2003;12;03;00;00;9.52;91.71;1018.55;14.08;6.92;99.00;73.00;1019.80;1017.20
2003;12;04;00;00;8.76;89.29;1021.20;13.07;6.41;97.00;71.00;1027.00;1019.10
2003;12;05;00;00;6.29;91.54;1027.20;11.26;3.33;100.00;73.00;1029.00;1024.90
2003;12;06;00;00;4.59;90.71;1023.90;7.90;2.12;97.00;83.00;1026.00;1021.10
2003;12;07;00;00;0.26;76.38;1025.98;4.33;-2.29;90.00;57.00;1029.00;1023.50
2003;12;08;00;00;2.00;75.79;1028.75;6.59;-2.25;90.00;65.00;1030.80;1023.90
2003;12;09;00;00;2.36;72.88;1019.27;7.03;-1.23;85.00;50.00;1023.50;1016.40
2003;12;10;00;00;3.81;73.04;1016.70;9.28;-1.42;91.00;54.00;1019.90;1015.10
2003;12;11;00;00;4.26;76.33;1020.14;9.57;-0.49;89.00;59.00;1022.50;1017.80
2003;12;12;00;00;7.68;86.04;1021.35;10.85;5.43;95.00;77.00;1025.10;1017.50
2003;12;13;00;00;10.14;88.62;1020.02;15.02;6.61;98.00;76.00;1024.50;1014.90
2003;12;14;00;00;8.34;88.58;1016.20;10.61;4.65;93.00;80.00;1020.70;1012.30
2003;12;15;00;00;3.19;90.04;1023.22;4.48;1.88;96.00;79.00;1026.70;1020.30
2003;12;16;00;00;2.17;88.79;1030.27;4.48;0.29;97.00;78.00;1032.60;1027.00
2003;12;17;00;00;2.63;80.67;1027.05;6.62;-0.60;100.00;59.00;1030.80;1024.40
2003;12;18;00;00;3.96;86.12;1023.99;8.29;0.45;100.00;64.00;1025.90;1021.80
2003;12;19;00;00;6.53;85.04;1022.40;10.38;2.39;100.00;63.00;1023.20;1021.30
2003;12;20;00;00;8.09;88.67;1019.72;11.32;4.49;100.00;67.00;1023.50;1014.00
2003;12;21;00;00;6.93;87.17;1010.40;9.09;2.64;96.00;78.00;1014.70;1005.90
2003;12;22;00;00;2.11;86.67;1019.14;3.33;-1.13;95.00;77.00;1027.50;1014.30
2003;12;23;00;00;0.94;87.92;1026.45;2.83;-0.07;95.00;77.00;1030.60;1023.90
2003;12;24;00;00;0.70;71.08;1032.40;5.31;-2.03;92.00;52.00;1033.80;1030.70
2003;12;25;00;00;1.69;63.92;1030.00;6.32;-1.93;74.00;43.00;1033.70;1025.80
2003;12;26;00;00;5.40;83.54;1018.15;10.88;2.08;100.00;64.00;1025.60;1013.20
2003;12;27;00;00;5.57;90.17;1010.05;9.33;0.62;100.00;70.00;1013.70;1005.50
2003;12;28;00;00;5.14;91.83;1002.66;7.99;2.55;100.00;78.00;1011.70;998.00
2003;12;29;00;00;2.08;85.33;1013.68;4.67;0.21;95.00;70.00;1016.60;1009.50
2003;12;30;00;00;2.58;91.54;1012.08;4.71;0.92;97.00;80.00;1016.80;1009.20
2003;12;31;00;00;2.07;91.12;1020.77;3.17;1.04;97.00;80.00;1022.70;1017.50
2004;01;01;00;00;1.61;88.46;1015.65;4.19;-0.43;97.00;68.00;1022.30;1010.70
2004;01;02;00;00;1.63;90.50;1011.86;3.49;-0.63;96.00;80.00;1017.40;1009.60
2004;01;03;00;00;-1.58;84.29;1020.98;0.08;-2.90;95.00;67.00;1022.20;1018.00
2004;01;04;00;00;-1.85;83.00;1022.12;0.86;-3.83;93.00;62.00;1023.80;1020.70
2004;01;05;00;00;1.92;82.17;1023.88;6.07;-1.62;94.00;68.00;1024.60;1022.80
2004;01;06;00;00;4.22;81.33;1022.68;8.19;0.21;100.00;61.00;1024.70;1020.70
2004;01;07;00;00;5.75;89.29;1020.72;10.01;4.04;100.00;70.00;1022.50;1018.50
2004;01;08;00;00;6.06;87.54;1014.00;10.50;2.33;100.00;57.00;1019.20;1007.60
2004;01;09;00;00;6.95;95.21;1009.31;8.52;5.90;100.00;85.00;1012.00;1007.20
2004;01;10;00;00;5.81;92.92;1018.90;8.51;4.21;100.00;78.00;1022.10;1012.90
2004;01;11;00;00;7.14;96.79;1014.34;10.49;3.91;100.00;88.00;1020.30;1008.20
2004;01;12;00;00;8.07;93.96;1008.11;8.97;5.77;100.00;86.00;1014.50;998.80
2004;01;13;00;00;8.13;98.46;1002.47;10.91;5.34;100.00;95.00;1011.30;995.20
2004;01;14;00;00;7.94;92.00;1001.75;10.48;4.80;100.00;70.00;1005.70;997.30
2004;01;15;00;00;3.00;89.83;1011.42;4.99;0.30;99.00;76.00;1015.40;1003.90
2004;01;16;00;00;4.42;88.83;1005.16;5.84;3.00;96.00;79.00;1010.20;1003.70
2004;01;17;00;00;4.73;93.33;1003.14;7.14;2.48;98.00;80.00;1005.50;1001.10
2004;01;18;00;00;3.33;92.21;1013.23;5.30;-1.15;99.00;77.00;1024.30;1002.50
2004;01;19;00;00;0.36;90.79;1021.65;1.88;-1.21;95.00;72.00;1025.00;1015.30
2004;01;20;00;00;3.38;97.25;1010.64;6.20;1.32;100.00;91.00;1015.40;1007.20
2004;01;21;00;00;3.10;83.42;1017.96;5.03;1.48;96.00;61.00;1021.50;1015.60
2004;01;22;00;00;2.83;76.33;1020.95;6.83;1.38;92.00;56.00;1022.20;1018.50
2004;01;23;00;00;2.91;72.00;1018.04;5.70;0.62;87.00;49.00;1020.20;1016.00
2004;01;24;00;00;3.60;80.67;1017.26;8.44;-0.41;96.00;51.00;1020.40;1013.60
2004;01;25;00;00;3.09;94.04;1017.28;4.19;2.33;96.00;90.00;1019.70;1013.10
2004;01;26;00;00;1.17;92.58;1004.40;2.44;-0.11;98.00;72.00;1012.50;998.80
2004;01;27;00;00;1.39;93.71;1000.30;2.66;0.71;98.00;82.00;1004.60;997.90
2004;01;28;00;00;1.19;90.88;1004.65;2.20;0.17;97.00;80.00;1006.50;1001.40
2004;01;29;00;00;-0.89;92.21;1009.01;1.33;-5.72;96.00;88.00;1019.40;999.90
2004;01;30;00;00;-2.45;87.54;1020.68;1.73;-11.03;94.00;72.00;1023.90;1018.50
2004;01;31;00;00;2.55;94.71;1017.55;5.63;-1.14;100.00;89.00;1019.50;1014.60
2004;02;01;00;00;6.92;94.83;1025.45;11.33;4.00;100.00;75.00;1027.80;1020.60
2004;02;02;00;00;7.82;86.71;1028.42;13.93;3.94;100.00;63.00;1032.30;1026.40
2004;02;03;00;00;7.42;81.12;1033.30;14.06;0.94;100.00;56.00;1034.90;1032.30
2004;02;04;00;00;9.41;78.54;1033.29;15.67;4.45;100.00;56.00;1035.40;1030.60
2004;02;05;00;00;7.42;85.54;1032.06;14.78;0.18;100.00;58.00;1034.00;1030.40
2004;02;06;00;00;8.86;82.29;1025.47;16.97;2.80;100.00;52.00;1031.40;1020.60
2004;02;07;00;00;7.22;87.21;1022.45;9.24;5.25;99.00;72.00;1025.10;1019.80
2004;02;08;00;00;4.70;88.25;1022.32;5.78;3.32;95.00;81.00;1025.90;1019.90
2004;02;09;00;00;2.80;79.42;1033.18;4.67;-0.41;94.00;62.00;1037.00;1026.80
2004;02;10;00;00;4.66;70.67;1033.79;11.23;-0.73;100.00;41.00;1037.00;1029.20
2004;02;11;00;00;4.00;85.67;1027.23;5.27;2.82;96.00;59.00;1029.60;1025.70
2004;02;12;00;00;3.85;83.29;1031.80;7.07;1.74;96.00;60.00;1033.80;1029.90
2004;02;13;00;00;4.94;82.96;1032.86;9.63;1.10;100.00;58.00;1035.00;1030.60
2004;02;14;00;00;5.37;83.46;1026.86;9.57;2.09;100.00;59.00;1030.50;1023.00
2004;02;15;00;00;5.56;87.58;1024.22;8.33;4.05;98.00;66.00;1025.50;1023.40
2004;02;16;00;00;5.13;86.29;1025.94;10.03;2.69;100.00;58.00;1027.20;1023.90
2004;02;17;00;00;4.54;81.38;1027.45;10.22;0.19;96.00;58.00;1029.60;1025.80
2004;02;18;00;00;4.48;79.17;1022.58;6.04;1.68;91.00;60.00;1026.20;1019.20
2004;02;19;00;00;2.64;80.62;1013.76;5.31;0.07;95.00;58.00;1018.70;1010.50
2004;02;20;00;00;3.69;75.50;1017.56;10.11;-1.09;97.00;50.00;1019.30;1013.30
2004;02;21;00;00;7.27;79.50;1011.28;13.45;0.99;97.00;60.00;1017.80;1006.00
2004;02;22;00;00;8.29;91.62;1006.12;11.13;5.28;98.00;80.00;1008.10;1003.30
2004;02;23;00;00;1.17;86.58;1012.55;3.96;-2.02;96.00;68.00;1018.40;1005.90
2004;02;24;00;00;0.85;66.88;1018.50;5.60;-2.79;93.00;36.00;1020.60;1016.40
2004;02;25;00;00;2.23;69.25;1011.48;6.20;-1.81;92.00;45.00;1016.40;1008.00
2004;02;26;00;00;1.64;85.75;1004.69;4.08;-3.03;95.00;72.00;1008.30;1002.30
2004;02;27;00;00;-0.22;72.38;1002.27;4.77;-3.52;93.00;49.00;1004.60;999.80
2004;02;28;00;00;0.57;71.50;1004.33;5.56;-4.05;94.00;46.00;1008.40;1002.10
2004;02;29;00;00;1.57;84.12;1013.53;3.18;0.52;96.00;65.00;1019.40;1008.80
2004;03;01;00;00;0.40;88.42;1025.40;1.96;-2.08;97.00;77.00;1031.70;1020.20
2004;03;02;00;00;2.25;81.67;1032.56;6.28;-0.97;96.00;61.00;1033.70;1031.20
2004;03;03;00;00;3.86;80.25;1031.91;9.75;0.44;98.00;53.00;1035.00;1029.50
2004;03;04;00;00;4.50;80.79;1026.31;10.83;-0.87;100.00;51.00;1030.70;1022.30
2004;03;05;00;00;5.75;86.46;1018.12;8.10;2.20;99.00;55.00;1022.10;1015.10
2004;03;06;00;00;6.83;88.62;1017.75;8.49;4.81;98.00;78.00;1022.80;1015.40
2004;03;07;00;00;4.86;77.12;1023.48;6.92;2.56;93.00;63.00;1025.60;1021.90
2004;03;08;00;00;4.08;84.42;1025.04;6.25;1.87;96.00;73.00;1029.00;1023.10
2004;03;09;00;00;2.99;73.33;1026.36;8.60;-0.76;94.00;49.00;1029.70;1023.60
2004;03;10;00;00;1.56;70.46;1021.31;6.10;-2.51;95.00;44.00;1024.80;1018.00
2004;03;11;00;00;2.77;73.83;1019.94;9.52;0.07;92.00;44.00;1021.30;1018.60
2004;03;12;00;00;3.61;84.00;1016.34;8.78;-1.67;100.00;54.00;1019.70;1013.30
2004;03;13;00;00;6.79;94.92;1020.49;9.44;4.20;98.00;88.00;1024.40;1017.10
2004;03;14;00;00;9.96;84.08;1028.16;13.39;6.67;99.00;68.00;1030.40;1024.70
2004;03;15;00;00;11.61;76.17;1032.33;16.51;5.22;99.00;53.00;1034.40;1030.40
2004;03;16;00;00;12.23;75.62;1032.17;19.03;4.61;100.00;52.00;1035.80;1029.70
2004;03;17;00;00;14.46;66.83;1028.99;22.39;5.08;90.00;42.00;1032.20;1027.10
2004;03;18;00;00;15.48;69.46;1024.29;22.53;8.31;88.00;44.00;1028.00;1020.90
2004;03;19;00;00;12.90;80.62;1022.99;14.66;10.86;95.00;64.00;1025.50;1021.40
2004;03;20;00;00;12.08;85.79;1019.73;13.55;10.48;91.00;82.00;1022.30;1016.20
2004;03;21;00;00;10.86;80.83;1013.73;12.63;7.59;87.00;76.00;1016.30;1011.60
2004;03;22;00;00;6.11;83.29;1014.37;7.93;1.75;93.00;69.00;1015.80;1013.10
2004;03;23;00;00;5.02;84.38;1011.81;7.60;3.19;95.00;65.00;1014.40;1009.10
2004;03;24;00;00;4.75;88.46;1012.52;7.01;2.73;97.00;74.00;1017.30;1009.40
2004;03;25;00;00;4.69;85.33;1015.51;6.53;3.47;94.00;71.00;1018.10;1013.00
2004;03;26;00;00;3.51;73.88;1015.20;6.17;0.99;94.00;53.00;1017.00;1013.80
2004;03;27;00;00;3.28;71.21;1015.59;7.97;-0.97;94.00;49.00;1017.30;1013.20
2004;03;28;00;00;5.21;72.58;1018.57;13.25;-0.78;93.00;49.00;1021.30;1016.30
2004;03;29;00;00;6.22;76.54;1019.05;14.05;-1.48;99.00;48.00;1023.10;1015.80
2004;03;30;00;00;7.81;77.58;1013.78;15.17;0.37;98.00;53.00;1017.90;1010.50
2004;03;31;00;00;11.37;69.92;1012.51;18.54;2.33;100.00;45.00;1016.20;1009.70
2004;04;01;00;00;11.67;73.12;1010.83;18.35;3.94;97.00;51.00;1013.60;1008.60
2004;04;02;00;00;12.63;70.33;1011.90;19.64;3.62;94.00;45.00;1014.90;1010.20
2004;04;03;00;00;11.89;75.46;1021.99;15.87;8.49;94.00;50.00;1024.60;1015.90
2004;04;04;00;00;10.47;79.33;1022.49;14.24;6.85;93.00;62.00;1024.40;1020.40
2004;04;05;00;00;9.02;82.75;1018.55;11.08;7.76;92.00;65.00;1020.90;1015.30
2004;04;06;00;00;7.23;86.58;1009.26;8.87;4.48;94.00;78.00;1013.60;1006.70
2004;04;07;00;00;4.90;87.17;1011.40;6.69;2.99;97.00;71.00;1016.10;1008.30
2004;04;08;00;00;5.81;80.29;1015.06;8.01;3.91;96.00;69.00;1016.50;1013.60
2004;04;09;00;00;5.88;82.33;1013.53;9.75;0.90;99.00;58.00;1016.70;1010.10
2004;04;10;00;00;5.64;84.79;1012.53;9.72;0.72;98.00;68.00;1014.30;1010.90
2004;04;11;00;00;7.20;83.92;1016.97;9.42;5.41;94.00;74.00;1020.30;1013.80
2004;04;12;00;00;8.92;76.58;1019.18;13.37;3.41;100.00;56.00;1021.00;1017.50
2004;04;13;00;00;8.55;84.96;1018.72;12.24;6.14;96.00;63.00;1020.40;1016.20
2004;04;14;00;00;8.84;78.58;1018.73;13.73;4.53;98.00;54.00;1021.40;1016.10
2004;04;15;00;00;10.18;72.38;1019.16;14.58;3.47;95.00;55.00;1021.00;1017.90
2004;04;16;00;00;12.17;70.83;1013.02;18.59;5.12;100.00;46.00;1019.30;1006.70
2004;04;17;00;00;11.42;80.25;1005.02;17.96;3.34;100.00;53.00;1007.10;1001.90
2004;04;18;00;00;12.13;82.75;997.04;15.43;10.17;97.00;55.00;1004.10;992.10
2004;04;19;00;00;8.47;71.42;999.03;11.74;4.51;93.00;52.00;1004.20;994.40
2004;04;20;00;00;9.59;74.62;1007.27;13.70;3.35;88.00;55.00;1013.00;1003.40
2004;04;21;00;00;14.71;72.92;1013.94;19.98;9.44;91.00;53.00;1015.50;1012.30
2004;04;22;00;00;15.85;71.79;1013.32;22.23;6.89;89.00;49.00;1016.00;1010.10
2004;04;23;00;00;15.48;91.79;1016.40;16.89;13.06;98.00;84.00;1020.80;1013.00
2004;04;24;00;00;12.75;75.79;1021.40;15.79;10.14;95.00;54.00;1023.70;1020.10
2004;04;25;00;00;11.02;74.67;1023.07;14.72;8.59;86.00;62.00;1024.50;1022.20
2004;04;26;00;00;10.46;77.88;1018.83;17.98;2.48;98.00;56.00;1023.30;1014.60
2004;04;27;00;00;13.19;80.04;1012.25;19.73;6.27;100.00;54.00;1015.90;1009.60
2004;04;28;00;00;13.81;76.12;1009.34;19.06;7.67;100.00;51.00;1011.20;1007.60
2004;04;29;00;00;15.03;75.67;1002.13;20.71;8.40;98.00;53.00;1009.50;995.80
2004;04;30;00;00;15.53;79.46;999.17;20.45;12.49;91.00;56.00;1005.00;995.60
2004;05;01;00;00;13.11;74.54;1008.28;16.10;10.84;85.00;62.00;1010.60;1005.40
2004;05;02;00;00;12.49;79.67;1009.63;17.58;7.03;100.00;55.00;1011.50;1008.20
2004;05;03;00;00;13.38;78.29;1005.19;18.16;7.10;100.00;55.00;1009.50;1001.60
2004;05;04;00;00;14.36;78.33;996.31;17.11;11.61;94.00;66.00;1001.70;992.10
2004;05;05;00;00;9.97;81.96;991.51;11.13;6.48;94.00;63.00;993.40;990.00
2004;05;06;00;00;8.69;87.79;996.22;10.74;6.52;94.00;75.00;1001.90;993.20
2004;05;07;00;00;8.91;75.79;1003.54;12.18;6.73;91.00;58.00;1005.40;1001.90
2004;05;08;00;00;7.94;85.67;1004.78;10.37;5.71;94.00;73.00;1006.00;1003.10
2004;05;09;00;00;6.99;93.08;1008.03;9.68;4.15;97.00;89.00;1012.00;1004.00
2004;05;10;00;00;11.41;83.33;1012.57;15.36;8.01;98.00;66.00;1013.90;1011.30
2004;05;11;00;00;14.07;73.38;1015.44;17.73;10.29;87.00;64.00;1016.90;1013.90
2004;05;12;00;00;14.21;77.75;1014.46;17.84;10.61;94.00;64.00;1017.20;1012.00
2004;05;13;00;00;11.36;85.83;1015.47;13.58;9.49;95.00;74.00;1019.00;1013.00
2004;05;14;00;00;11.44;86.96;1021.44;15.44;8.18;97.00;67.00;1023.70;1019.00
2004;05;15;00;00;13.98;82.50;1024.70;17.79;10.46;97.00;65.00;1025.80;1023.70
2004;05;16;00;00;14.27;82.29;1024.60;17.19;9.46;100.00;71.00;1025.60;1023.90
2004;05;17;00;00;15.27;75.83;1023.61;22.15;5.74;97.00;55.00;1026.30;1021.20
2004;05;18;00;00;18.16;74.25;1023.20;24.27;10.85;100.00;51.00;1024.80;1021.60
2004;05;19;00;00;19.25;73.88;1023.10;23.93;12.39;100.00;54.00;1025.30;1021.10
2004;05;20;00;00;19.62;73.42;1018.43;24.78;13.22;100.00;50.00;1022.60;1015.10
2004;05;21;00;00;16.79;85.50;1014.05;20.09;13.92;95.00;70.00;1015.70;1012.40
2004;05;22;00;00;10.07;82.96;1019.97;13.46;3.64;97.00;58.00;1024.00;1016.00
2004;05;23;00;00;8.16;70.21;1024.60;12.44;1.47;91.00;53.00;1026.00;1023.60
2004;05;24;00;00;10.72;71.62;1024.24;16.79;1.66;100.00;50.00;1026.90;1021.60
2004;05;25;00;00;13.01;75.17;1020.60;18.99;4.73;100.00;56.00;1023.70;1017.30
2004;05;26;00;00;15.05;74.58;1017.99;21.11;8.01;100.00;51.00;1019.40;1016.00
2004;05;27;00;00;15.23;74.29;1019.94;18.00;13.01;95.00;62.00;1021.20;1018.60
2004;05;28;00;00;14.05;70.46;1022.45;17.83;10.61;81.00;56.00;1023.30;1021.20
2004;05;29;00;00;14.96;72.75;1023.23;20.29;8.14;100.00;52.00;1024.80;1021.30
