LAT;;;;;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584
LON;;;;;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327
ASL;;;;;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000
CITY;;;;;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;2 m above gnd;2 m above gnd;2 m above gnd;2 m above gnd;MSL;MSL
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Temperature;Temperature;Relative Humidity;Relative Humidity;Mean Sea Level Pressure;Mean Sea Level Pressure
UNIT;;;;;°C;%;hPa;°C;°C;%;%;hPa;hPa
AGGREGATION;;;;;daily mean;daily mean;daily mean;daily max;daily min;daily max;daily min;daily max;daily min
UTC_OFFSET;;;;;1;1;1;1;1;1;1;1;1

Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Relative Humidity daily mean [2 m above gnd];Mean Sea Level Pressure daily mean [MSL];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Relative Humidity daily max [2 m above gnd];Relative Humidity daily min [2 m above gnd];Mean Sea Level Pressure daily max [MSL];Mean Sea Level Pressure daily min [MSL]
1999;02;11;00;00;-0.40;87.29;1015.22;0.47;-1.24;95.00;73.00;1022.70;1010.20
1999;02;12;00;00;-2.87;89.29;1026.91;-1.49;-4.03;100.00;78.00;1029.40;1023.50
1999;02;13;00;00;-2.15;88.79;1029.49;-0.10;-3.81;94.00;75.00;1030.90;1028.50
1999;02;14;00;00;-1.16;86.46;1030.29;1.64;-3.05;94.00;71.00;1031.40;1028.70
1999;02;15;00;00;-0.84;84.67;1028.90;3.64;-3.56;94.00;63.00;1031.40;1025.20
1999;02;16;00;00;1.95;93.04;1018.95;5.35;-3.33;97.00;84.00;1025.20;1015.30
1999;02;17;00;00;2.58;91.83;1015.57;3.73;1.42;98.00;80.00;1017.80;1013.60
1999;02;18;00;00;2.90;97.88;1016.07;4.62;2.06;99.00;95.00;1023.00;1011.00
1999;02;19;00;00;5.30;97.21;1022.33;8.34;3.02;100.00;91.00;1023.90;1019.30
1999;02;20;00;00;6.92;98.58;1018.15;9.33;4.85;100.00;93.00;1019.40;1017.00
1999;02;21;00;00;7.97;96.42;1014.29;9.34;6.28;100.00;88.00;1019.10;1007.20
1999;02;22;00;00;4.52;91.71;1003.39;7.95;1.54;100.00;77.00;1007.30;1000.40
1999;02;23;00;00;1.75;88.33;1010.26;3.75;0.14;96.00;73.00;1015.90;1007.00
1999;02;24;00;00;1.08;93.54;1012.62;3.16;-3.48;98.00;86.00;1015.70;1010.30
1999;02;25;00;00;1.95;87.42;1020.23;5.19;-1.03;99.00;70.00;1023.80;1015.60
1999;02;26;00;00;3.89;84.58;1020.67;10.07;-1.19;100.00;59.00;1023.80;1017.50
1999;02;27;00;00;7.26;87.50;1015.26;14.39;0.35;100.00;60.00;1017.50;1013.00
1999;02;28;00;00;8.66;84.04;1023.41;12.38;5.06;99.00;64.00;1026.30;1017.80
1999;03;01;00;00;5.82;90.83;1023.52;8.14;2.75;100.00;72.00;1026.40;1020.40
1999;03;02;00;00;9.40;93.46;1016.89;14.38;6.46;100.00;73.00;1020.60;1012.60
1999;03;03;00;00;9.05;91.75;1003.84;13.04;5.43;100.00;70.00;1012.20;997.30
1999;03;04;00;00;6.19;89.54;994.77;7.94;4.07;100.00;77.00;996.90;993.00
1999;03;05;00;00;4.58;87.17;994.72;6.88;2.61;100.00;69.00;997.80;992.50
1999;03;06;00;00;3.71;82.50;1001.60;6.37;0.55;100.00;56.00;1004.80;998.00
1999;03;07;00;00;2.98;83.08;1007.29;4.38;1.35;94.00;67.00;1011.20;1004.30
1999;03;08;00;00;3.23;78.75;1010.50;9.64;-2.77;98.00;43.00;1013.40;1007.60
1999;03;09;00;00;8.14;87.29;1007.03;15.02;2.51;100.00;61.00;1010.00;1005.80
1999;03;10;00;00;9.16;82.83;1010.90;15.34;2.89;100.00;53.00;1013.00;1009.40
1999;03;11;00;00;11.58;90.21;1013.32;17.26;7.85;100.00;65.00;1014.40;1011.80
1999;03;12;00;00;13.51;81.54;1014.33;22.19;6.91;100.00;48.00;1015.70;1012.90
1999;03;13;00;00;12.62;79.62;1017.50;20.77;4.73;99.00;40.00;1019.30;1016.30
1999;03;14;00;00;12.72;82.83;1021.46;20.88;5.98;100.00;56.00;1024.80;1018.80
1999;03;15;00;00;11.01;91.88;1026.32;14.46;8.76;99.00;75.00;1027.30;1025.10
1999;03;16;00;00;10.14;88.58;1025.94;12.00;6.58;99.00;68.00;1026.80;1025.00
1999;03;17;00;00;5.66;80.17;1026.71;11.45;2.03;100.00;45.00;1028.10;1024.70
1999;03;18;00;00;5.77;71.38;1023.79;11.10;-0.11;96.00;44.00;1026.70;1020.70
1999;03;19;00;00;6.88;78.96;1022.26;9.52;4.72;91.00;67.00;1025.40;1020.50
1999;03;20;00;00;5.49;76.67;1026.07;7.70;3.15;94.00;60.00;1027.20;1024.80
1999;03;21;00;00;6.49;75.38;1016.91;10.99;1.82;94.00;54.00;1025.40;1008.10
1999;03;22;00;00;5.04;91.21;1008.48;6.05;3.66;97.00;83.00;1016.00;1005.80
1999;03;23;00;00;4.66;90.42;1016.96;6.76;2.79;99.00;80.00;1018.80;1015.50
